2019-12-03 21:59:14 v-list-web-domain  'admin' 'php.lavergen.com' 'json' [Error 3]
2019-12-09 19:43:41 v-get-user-salt  'admin' '113.190.232.77' 'json' [Error 2]
2019-12-09 21:54:37 v-restart-web  [Error 20]
2019-12-10 22:26:40 v-change-web-domain-tpl  'admin' 'django1.com' 'django-docker' 'no' [Error 3]
2019-12-10 22:26:51 v-change-web-domain-tpl  'admin' 'django1.com' 'django-docker' 'no' [Error 3]
2019-12-12 19:42:06 v-change-web-domain-tpl  'admin' 'django1.com' 'django-docker' 'no' [Error 3]
2019-12-12 19:47:25 v-restart-web  [Error 20]
2019-12-12 19:50:27 v-restart-web  [Error 20]
2019-12-12 19:50:39 v-add-web-domain  'admin' 'wordpress.demo.com' '125.212.203.153' 'no' 'www.wordpress.demo.com' '' [Error 4]
2019-12-12 20:56:24 v-restart-web  'yes' [Error 20]
2019-12-12 20:56:24 v-delete-domain  'admin' 'django1.com' [Error 20]
2019-12-12 20:56:29 v-restart-web  'yes' [Error 20]
2019-12-12 20:56:29 v-delete-domain  'admin' 'django1.com' [Error 20]
2019-12-12 20:56:34 v-restart-web  'yes' [Error 20]
2019-12-12 20:56:34 v-delete-domain  'admin' 'django1.com' [Error 20]
2019-12-12 20:56:40 v-restart-web  'yes' [Error 20]
2019-12-12 20:56:40 v-delete-domain  'admin' 'django1.com' [Error 20]
2019-12-12 20:56:45 v-restart-web  'yes' [Error 20]
2019-12-12 20:56:45 v-delete-domain  'admin' 'django1.com' [Error 20]
2019-12-12 20:56:51 v-restart-web  'yes' [Error 20]
2019-12-12 20:56:51 v-delete-domain  'admin' 'django1.com' [Error 20]
2019-12-12 20:56:56 v-restart-web  'yes' [Error 20]
2019-12-12 20:56:56 v-delete-domain  'admin' 'django1.com' [Error 20]
2019-12-12 20:57:02 v-restart-web  'yes' [Error 20]
2019-12-12 20:57:02 v-delete-domain  'admin' 'testfwscore.vn' [Error 20]
2019-12-12 20:57:07 v-restart-web  'yes' [Error 20]
2019-12-12 20:57:07 v-delete-domain  'admin' 'testfwscore.vn' [Error 20]
2019-12-12 20:57:12 v-restart-web  'yes' [Error 20]
2019-12-12 20:57:12 v-delete-domain  'admin' 'testfwscore.vn' [Error 20]
2019-12-12 20:57:18 v-restart-web  'yes' [Error 20]
2019-12-12 20:57:18 v-delete-domain  'admin' 'testfwscore.vn' [Error 20]
2019-12-12 20:57:23 v-restart-web  'yes' [Error 20]
2019-12-12 20:57:23 v-delete-domain  'admin' 'testfwscore.vn' [Error 20]
2019-12-12 20:57:28 v-restart-web  'yes' [Error 20]
2019-12-12 20:57:28 v-delete-domain  'admin' 'testfwscore.vn' [Error 20]
2019-12-12 20:57:34 v-restart-web  'yes' [Error 20]
2019-12-12 20:57:34 v-delete-domain  'admin' 'testfwscore.vn' [Error 20]
2019-12-12 20:57:39 v-restart-web  'yes' [Error 20]
2019-12-12 20:57:39 v-delete-domain  'admin' 'testfwscore.vn' [Error 20]
2019-12-12 20:57:44 v-restart-web  'yes' [Error 20]
2019-12-12 20:57:44 v-delete-domain  'admin' 'testfwscore.vn' [Error 20]
2019-12-12 20:57:49 v-restart-web  'yes' [Error 20]
2019-12-12 20:57:49 v-delete-domain  'admin' 'testfwscore.vn' [Error 20]
2019-12-12 20:57:55 v-restart-web  'yes' [Error 20]
2019-12-12 20:57:55 v-delete-domain  'admin' 'django1.com' [Error 20]
2019-12-12 20:58:29 v-restart-web  'yes' [Error 20]
2019-12-12 20:58:29 v-delete-domain  'admin' 'wordpress.demo.com' [Error 20]
2019-12-12 20:59:03 v-restart-web  'yes' [Error 20]
2019-12-12 20:59:03 v-delete-domain  'admin' 'django.com' [Error 20]
2019-12-12 20:59:09 v-restart-web  'yes' [Error 20]
2019-12-12 20:59:09 v-delete-domain  'admin' 'admin.example.com' [Error 20]
2019-12-12 20:59:17 v-restart-web  'yes' [Error 20]
2019-12-12 20:59:17 v-delete-domain  'admin' 'admin.example.com' [Error 20]
2019-12-12 20:59:23 v-restart-web  'yes' [Error 20]
2019-12-12 20:59:23 v-delete-domain  'admin' 'admin.example.com' [Error 20]
2019-12-12 20:59:28 v-restart-web  'yes' [Error 20]
2019-12-12 20:59:28 v-delete-domain  'admin' 'admin.example.com' [Error 20]
2019-12-12 21:06:56 v-restart-web  'yes' [Error 20]
2019-12-12 21:06:56 v-delete-domain  'admin' 'domainthuhai.vn' [Error 20]
2019-12-12 21:08:23 v-restart-web  [Error 20]
2019-12-12 21:10:00 v-add-web-domain  'admin' 'testfwscore.vn' '125.212.203.153' 'no' 'www.testfwscore.vn' '' [Error 4]
2019-12-12 21:12:08 v-restart-web  [Error 20]
2019-12-12 21:14:23 v-restart-web  'yes' [Error 20]
2019-12-12 21:14:23 v-delete-domain  'admin' 'testfwscore.vn' [Error 20]
2019-12-12 21:22:13 v-restart-web  [Error 20]
2019-12-12 21:42:02 v-restart-web  [Error 20]
2019-12-12 21:55:48 v-restart-web  'yes' [Error 20]
2019-12-12 21:55:48 v-delete-domain  'admin' 'django1.com' [Error 20]
2019-12-13 20:04:51 v-restart-web  'yes' [Error 20]
2019-12-13 20:04:51 v-delete-domain  'admin' 'wordpress.demo.com' [Error 20]
2019-12-13 20:06:04 v-restart-web  [Error 20]
2019-12-13 20:06:57 v-add-web-domain  'admin' 'dfsfsdf.com' '125.212.203.153' 'no' 'www.dfsfsdf.com' '' [Error 4]
2019-12-13 20:07:11 v-restart-web  'yes' [Error 20]
2019-12-13 20:07:11 v-delete-domain  'admin' 'dfsfsdf.com' [Error 20]
2019-12-14 23:22:19 v-restart-web  [Error 20]
